Latitude,Longitude,Date,Time,UTC
53.168338333,8.649846667,2019-03-12,15:18:20,2019-03-12T15:18:20
53.168338333,8.649846667,2019-03-12,15:18:21,2019-03-12T15:18:21
53.168338333,8.649846667,2019-03-12,15:18:22,2019-03-12T15:18:22
53.168338333,8.649846667,2019-03-12,15:18:23,2019-03-12T15:18:23
53.168338333,8.649846667,2019-03-12,15:18:24,2019-03-12T15:18:24
53.168338333,8.649846667,2019-03-12,15:18:25,2019-03-12T15:18:25
53.168338333,8.649846667,2019-03-12,15:18:26,2019-03-12T15:18:26
53.168338333,8.649846667,2019-03-12,15:18:27,2019-03-12T15:18:27
53.168338333,8.649846667,2019-03-12,15:18:28,2019-03-12T15:18:28
53.168338333,8.649846667,2019-03-12,15:18:29,2019-03-12T15:18:29
53.168338333,8.649846667,2019-03-12,15:18:30,2019-03-12T15:18:30
53.168338333,8.649846667,2019-03-12,15:18:31,2019-03-12T15:18:31
53.168338333,8.649846667,2019-03-12,15:18:32,2019-03-12T15:18:32
53.168336667,8.649846667,2019-03-12,15:18:33,2019-03-12T15:18:33
53.168336667,8.649846667,2019-03-12,15:18:34,2019-03-12T15:18:34
53.168336667,8.649846667,2019-03-12,15:18:35,2019-03-12T15:18:35
53.168336667,8.649846667,2019-03-12,15:18:36,2019-03-12T15:18:36
53.168336667,8.649846667,2019-03-12,15:18:37,2019-03-12T15:18:37
53.168336667,8.649846667,2019-03-12,15:18:38,2019-03-12T15:18:38
53.168336667,8.649846667,2019-03-12,15:18:39,2019-03-12T15:18:39
53.168336667,8.649846667,2019-03-12,15:18:40,2019-03-12T15:18:40
53.168336667,8.649846667,2019-03-12,15:18:41,2019-03-12T15:18:41
53.168336667,8.649846667,2019-03-12,15:18:42,2019-03-12T15:18:42
53.168336667,8.649846667,2019-03-12,15:18:43,2019-03-12T15:18:43
53.168336667,8.649846667,2019-03-12,15:18:44,2019-03-12T15:18:44
53.168336667,8.649846667,2019-03-12,15:18:45,2019-03-12T15:18:45
53.168336667,8.649846667,2019-03-12,15:18:46,2019-03-12T15:18:46
53.168336667,8.649846667,2019-03-12,15:18:47,2019-03-12T15:18:47
53.168336667,8.649846667,2019-03-12,15:18:48,2019-03-12T15:18:48
53.168336667,8.649846667,2019-03-12,15:18:49,2019-03-12T15:18:49
53.168336667,8.649846667,2019-03-12,15:18:50,2019-03-12T15:18:50
53.168336667,8.649846667,2019-03-12,15:18:51,2019-03-12T15:18:51
53.168336667,8.649846667,2019-03-12,15:18:52,2019-03-12T15:18:52
53.168336667,8.649846667,2019-03-12,15:18:53,2019-03-12T15:18:53
53.168336667,8.649846667,2019-03-12,15:18:54,2019-03-12T15:18:54
53.168336667,8.649846667,2019-03-12,15:18:55,2019-03-12T15:18:55
53.168336667,8.649845,2019-03-12,15:18:56,2019-03-12T15:18:56
53.168336667,8.649845,2019-03-12,15:18:57,2019-03-12T15:18:57
53.168336667,8.649845,2019-03-12,15:18:58,2019-03-12T15:18:58
53.168336667,8.649845,2019-03-12,15:18:59,2019-03-12T15:18:59
53.168336667,8.649845,2019-03-12,15:19:00,2019-03-12T15:19
53.168336667,8.649845,2019-03-12,15:19:01,2019-03-12T15:19:01
53.168336667,8.649845,2019-03-12,15:19:02,2019-03-12T15:19:02
53.168336667,8.649845,2019-03-12,15:19:03,2019-03-12T15:19:03
53.168336667,8.649845,2019-03-12,15:19:04,2019-03-12T15:19:04
53.168336667,8.649845,2019-03-12,15:19:05,2019-03-12T15:19:05
53.168336667,8.649845,2019-03-12,15:19:06,2019-03-12T15:19:06
53.168336667,8.649845,2019-03-12,15:19:07,2019-03-12T15:19:07
53.168336667,8.649845,2019-03-12,15:19:08,2019-03-12T15:19:08
53.168336667,8.649845,2019-03-12,15:19:09,2019-03-12T15:19:09
53.168336667,8.649845,2019-03-12,15:19:10,2019-03-12T15:19:10
53.168336667,8.649845,2019-03-12,15:19:11,2019-03-12T15:19:11
53.168336667,8.649845,2019-03-12,15:19:12,2019-03-12T15:19:12
53.168336667,8.649845,2019-03-12,15:19:13,2019-03-12T15:19:13
53.168336667,8.649845,2019-03-12,15:19:14,2019-03-12T15:19:14
53.168336667,8.649845,2019-03-12,15:19:15,2019-03-12T15:19:15
53.168336667,8.649845,2019-03-12,15:19:16,2019-03-12T15:19:16
53.168336667,8.649845,2019-03-12,15:19:17,2019-03-12T15:19:17
53.168336667,8.649845,2019-03-12,15:19:18,2019-03-12T15:19:18
53.168336667,8.649845,2019-03-12,15:19:19,2019-03-12T15:19:19
53.168336667,8.649845,2019-03-12,15:19:20,2019-03-12T15:19:20
53.168336667,8.649845,2019-03-12,15:19:21,2019-03-12T15:19:21
53.168336667,8.649845,2019-03-12,15:19:22,2019-03-12T15:19:22
53.168336667,8.649845,2019-03-12,15:19:23,2019-03-12T15:19:23
53.168336667,8.649845,2019-03-12,15:19:24,2019-03-12T15:19:24
53.168336667,8.649845,2019-03-12,15:19:25,2019-03-12T15:19:25
53.168336667,8.649845,2019-03-12,15:19:26,2019-03-12T15:19:26
53.168336667,8.649845,2019-03-12,15:19:27,2019-03-12T15:19:27
53.168336667,8.649845,2019-03-12,15:19:28,2019-03-12T15:19:28
53.168336667,8.649845,2019-03-12,15:19:29,2019-03-12T15:19:29
53.168336667,8.649845,2019-03-12,15:19:30,2019-03-12T15:19:30
53.168336667,8.649845,2019-03-12,15:19:31,2019-03-12T15:19:31
53.168336667,8.649845,2019-03-12,15:19:32,2019-03-12T15:19:32
53.168336667,8.649845,2019-03-12,15:19:33,2019-03-12T15:19:33
53.168336667,8.649845,2019-03-12,15:19:34,2019-03-12T15:19:34
53.168336667,8.649845,2019-03-12,15:19:35,2019-03-12T15:19:35
53.168336667,8.649845,2019-03-12,15:19:36,2019-03-12T15:19:36
53.168336667,8.649845,2019-03-12,15:19:37,2019-03-12T15:19:37
53.168336667,8.649845,2019-03-12,15:19:38,2019-03-12T15:19:38
53.168336667,8.649845,2019-03-12,15:19:39,2019-03-12T15:19:39
53.168336667,8.649845,2019-03-12,15:19:40,2019-03-12T15:19:40
53.168336667,8.649845,2019-03-12,15:19:41,2019-03-12T15:19:41
53.168336667,8.649845,2019-03-12,15:19:42,2019-03-12T15:19:42
53.168336667,8.649845,2019-03-12,15:19:43,2019-03-12T15:19:43
53.168336667,8.649845,2019-03-12,15:19:44,2019-03-12T15:19:44
53.168336667,8.649845,2019-03-12,15:19:45,2019-03-12T15:19:45
53.168336667,8.649845,2019-03-12,15:19:46,2019-03-12T15:19:46
53.168336667,8.649845,2019-03-12,15:19:47,2019-03-12T15:19:47
53.168336667,8.649845,2019-03-12,15:19:48,2019-03-12T15:19:48
53.168336667,8.649845,2019-03-12,15:19:49,2019-03-12T15:19:49
53.168336667,8.649845,2019-03-12,15:19:50,2019-03-12T15:19:50
53.168336667,8.649845,2019-03-12,15:19:51,2019-03-12T15:19:51
